i,e,n,l,s,ʃ,k,c
#[]_[]a,#[]_[]a,m[]_[]#,t[]_[]#,##_[]a,##_[]a,o[]_[]#,##_[]a
##_[]a,f[]_[]a,p[]_[]#,##_[]a,f[]_[]#,f[]_[]a,##_[]a,ʃ[]_[]a
i[]_[]a,e[]_[]a,m[]_[]a,t[]_[]a,c[]_[]#,l[]_[]a,ʃ[]_[]#,f[]_[]a
u[]_[]a,ŋ[]_[]a,p[]_[]a,l[]_[]#,k[]_[]#,m[]_[]a,f[]_[]#,k[]_[]a
a[]_[]a,o[]_[]a,n[]_[]#,k[]_[]#,l[]_[]#,NA,s[]_[]#,NA
NA,NA,ɲ[]_[]#,ʃ[]_[]#,m[]_[]#,NA,p[]_[]#,NA
NA,NA,ŋ[]_[]#,s[]_[]#,f[]_[]a,NA,k[]_[]#,NA
NA,NA,t[]_[]#,c[]_[]#,c[]_[]a,NA,o[]_[]a,NA
NA,NA,l[]_[]#,NA,k[]_[]a,NA,ʃ[]_[]a,NA
NA,NA,k[]_[]#,NA,l[]_[]a,NA,f[]_[]a,NA
NA,NA,s[]_[]#,NA,m[]_[]a,NA,s[]_[]a,NA
NA,NA,NA,NA,NA,NA,p[]_[]a,NA
NA,NA,NA,NA,NA,NA,k[]_[]a,NA
NA,NA,NA,NA,NA,NA,t[]_[]#,NA
NA,NA,NA,NA,NA,NA,l[]_[]#,NA
NA,NA,NA,NA,NA,NA,c[]_[]#,NA
NA,NA,NA,NA,NA,NA,m[]_[]#,NA
NA,NA,NA,NA,NA,NA,n[]_[]#,NA
NA,NA,NA,NA,NA,NA,ɲ[]_[]#,NA
NA,NA,NA,NA,NA,NA,ŋ[]_[]#,NA
