Root,Root + in,Root + an,Gloss
bukas,buksin,buksan,open
kapit,kaptin,kaptan,embrace
tubos,tubsin,tubsan,redeem
opos,upsin,upsan,stop
posod,pusdin,pusdan,tuft
bata,bathin,bathan,suffer
bili,bilhin,bilhan,buy
dipa,diphin,diphan,open
polo,pulhin,pulhan,ask for trifles
pujo,pujhin,-,saddle bag
banig,baŋgin,baŋgan,mat
damit,damtin,damtan,clothe
ganap,gampin,gampan,fulfill
putol,putlin,putlan,cut
atip,aptin,aptan,thatching
talab,-,tablan,penetrate
tanim,tamnin,tamnan,plant
laman,lamnin,lamnan,fill
